id,followers,genres,name,popularity
5bRMwV4TfltR1AR4VsQ4eR,32.0,[],The Abilene Christian University Alumni Chorus,6
65uZ2HGEsDootcwseb3TiB,107.0,[],Happy Families,0
76OmKYwNaAP7RRIwq54XLQ,220.0,[],Sick Of Stupidity,0
5duzfBNU8QE78kAcCk3qBX,263.0,[],Sakatat,2
6MnG8zLRllZBoHBAeYxbfP,50.0,[],DrDoom,1
35w8X193FcolEPTfQhs0Gp,68.0,['german grindcore'],Abjured,2
1cBVEX6Jy8k31SPsx9CnzY,130.0,[],Another Way,0
5CSP9UqKD0FpPvtzEEB1BR,792.0,"['american grindcore', 'grindcore']",Benümb,6
3ZPiU5o1Ag1K9TfFtts3st,211.0,['powerviolence'],Swallowing Shit,0
1ck5ogclJ9KwY6KBpOGIgD,181.0,[],Sordo,8
6vHbrotF1DwFAOLNFMhpk7,31.0,['triangle indie'],The Proclivities,0
3aWWQKOXtDCPRys2B8LGpP,3.0,[],Alain Patrick Et Son Orchestre,0
3Lr8fquaAxoRtjr6QsOizv,1.0,[],Staline,0
2lw8nr775dIELY3zZsZ1xq,31.0,[],Dan Stark,1
24PmLoq7GKSl8r3vonnoXM,151.0,[],Don Knotts,2
0J9eNWKbu2RTQ5bcQ0eJS6,1826.0,[],Teethgrinder,5
4laEdZoD8QHUWCyVXwtctT,105.0,"['french death metal', 'necrogrind']",Nolentia,0
5zpmqxVLsqcgHpk6bFA06x,219.0,"['german grindcore', 'necrogrind']",Necromorph,1
495RJLWDqhThmBNDGoASia,375.0,['necrogrind'],Buffalo Grillz,2
1W38uG60ixYK533XxQeTwQ,11.0,['necrogrind'],Drudgery,0
6c7INJq9Z7uR5x8uIiS7fi,4.0,[],Malad,0
6xVzypgjwbww28juSwBJjn,34.0,['czech metal'],БУТ,0
4lwZlhwfItMSCArwftLyrW,15.0,[],King Terror,0
2VwIrmXhXZbh4kfG9YPL3Z,137.0,['necrogrind'],Department Of Correction,0
0xeMf6NjssZyBKEcGJYjWf,14.0,[],B-Rob,0
1mYxp9K2Gm3rNTwGHojAOY,142.0,[],Drudge,2
1u3a5DqFTTyLEIiMCmQPTf,180.0,[],Zachlapany Szczypior,3
7zhH0iVCBW0m5urYbChSLG,24.0,[],F.A.M.,0
3YdjkoJzskI991oGQPoaD7,237.0,"['necrogrind', 'pornogrind']",Epitome,1
4twavGMUsNGS7fBBLFGs7W,19.0,[],Gemisuadi,0
0ao3UNsHG3kMUBTO7LdRQ2,187.0,[],Unborn Suffer,0
0cEtITQDgiMWz66cEYP3Kq,11.0,[],Neurotic Serenity,0
2jShx3OS7YFZDraCJxIvwM,5.0,[],Ni~ya,0
2wAue5TevTIjiOeVwDKnUO,396.0,['polish death metal'],Parricide,2
0EmDGGFOF2g4rBZNSapgDL,1715.0,"['goregrind', 'pornogrind']",Ass to Mouth,6
1QyBPp365NmoZIqDURNZT0,2558.0,"['goregrind', 'pornogrind']",Destructive Explosion of Anal Garland,15
1FZp3lZeHHGwWticBqWR1H,430.0,"['arab metal', 'necrogrind']",Creative Waste,2
